timestamp,sensor_id,speed_mph,volume_vehicles_per_hour,latitude,longitude,road_type,road_name,direction
2023-06-01 00:00:00,METR_LA_001,26.2,12.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:05:00,METR_LA_001,31.9,12.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:10:00,METR_LA_001,31.9,5.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:15:00,METR_LA_001,,,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:20:00,METR_LA_001,28.5,6.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:25:00,METR_LA_001,34.2,8.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:30:00,METR_LA_001,34.4,3.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:35:00,METR_LA_001,,,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:40:00,METR_LA_001,28.6,5.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:45:00,METR_LA_001,35.0,2.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:50:00,METR_LA_001,29.9,7.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 00:55:00,METR_LA_001,33.3,5.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:00:00,METR_LA_001,31.5,16.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:05:00,METR_LA_001,32.8,14.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:10:00,METR_LA_001,31.2,6.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:15:00,METR_LA_001,29.1,18.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:20:00,METR_LA_001,28.6,0.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:25:00,METR_LA_001,31.7,15.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:30:00,METR_LA_001,34.3,2.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:35:00,METR_LA_001,30.2,7.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:40:00,METR_LA_001,35.0,0.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:45:00,METR_LA_001,31.8,3.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:50:00,METR_LA_001,,,33.941009,-118.030741,local,Hope St,NE
2023-06-01 01:55:00,METR_LA_001,32.2,9.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 02:00:00,METR_LA_001,32.1,4.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 02:05:00,METR_LA_001,27.7,16.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 02:10:00,METR_LA_001,,,33.941009,-118.030741,local,Hope St,NE
2023-06-01 02:15:00,METR_LA_001,26.4,10.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 02:20:00,METR_LA_001,35.0,0.0,33.941009,-118.030741,local,Hope St,NE
2023-06-01 02:25:00,METR_LA_001,32.0,2.0,33.941009,-118.030741,local,Hope St,NE
